piece.title;piece.city;piece.year;piece.composer.one;piece.composer.two;
Branca;;;Zequinha Abreu;;
Brasileirinho;;;Waldyr Azevedo;;
Brejeiro;;;Ernesto Nazareth;;
Bruno no choro;;;Deo Rian;;
Cabo Pitanga;;;Laércio de Freitas;;
Caboré;;;Canhoto da Paraíba;;
Cabuloso;;;Jacob do Bandolim;;
Cachorro vira-lata;;;Alberto Ribeiro;;
Caco de vidro;;;Altamiro Carrilho;;
Cadência;;;Juventino Maciel;;
Caminhando;;;Nelson Cavaquinho;Norival Bahia;
Camundongo;;;Waldyr Azevedo;Risadinha do Pandeiro;
Camundongo;;;Waldyr Azevedo;;
Camunguelando;;;Claudio Camunguelo;Julio Costa;
Canarinho gracioso;;;Lina Pesce;;
Canarinho teimoso;;;Altamiro Carrilho;;
Canhotinho;;;Canhoto;;
Canhoto da Paraíba;;;Dininho;;
Canto em rodeio;;;Pixinguinha;;
Capricho;;;Zé Lico;;
Carinhoso;;;Pixinguinha;João de Barro;
Carioca n° 1;;;Nicanor Teixeira;;
Carioquinha;;;Waldyr Azevedo;;
Carioquinhas no choro;;;Altamiro Carrilho;;
Cascatinha;;;Pixinguinha;;
Castigando;;;Dante Santoro;;
Cavaquinho seresteiro;;;Waldyr Azevedo;;
Cem anos de choro;;;Capiba;;
Chapéu palheta;;;Toninho Ferragutti;;
Cheguei;;;Pixinguinha;Benedito Lacerda;
Cheio de dedos;;;Guinga;Aldir Blanc;
Chora chorão;;;Luiz Bonfá;;
Chora trombone;;;João Silva;;
Chorando;;;Ary Barroso;;
Chorando baixinho;;;Abel Ferreira;;
Chorando em São Paulo;;;Magda Santos;Pó;
Chorando na rua;;;Canhotinho;;
Chorando pra Pixinguinha;;;Toquinho;;
Chorando sempre;;;Pixinguinha;;
Chorei;;;Pixinguinha;Benedito Lacerda;
Chorei...;;;Pixinguinha;Benedito Lacerda;
Chorinho antigo;;;Waldyr Azevedo;;
Chorinho da vovó;;;Gilson Peranzetta;;
Chorinho do sovaco de cobra;;;Abel Ferreira;;
Chorinho na gafieira;;;Astor Silva;;
Chorinho pra ele;;;Hermeto Pascoal;;
Chorinho pra você;;;Severino Araújo;;
Choro;;;Tom Jobim;;
Choro;;;Noel Rosa;;
Choro acadêmico;;;Nonato Luiz;;
Choro bandido;;;Edu Lobo;Chico Buarque;
Choro cubano;;;Mauricio Carrilho;;
Choro da saudade;;;Augustin Barrios;;
Choro de gafieira;;;Pixinguinha;;
Choro de mãe;;;Wagner Tiso;;
Choro de memórias;;;Paulinho da Viola;;
Choro n° 1;;;Attílio Bernardini;;
Choro n° 1;;;Heitor Villa-Lobos;;
Choro n° 2;;;João Pernambuco;Turíbio Santos;
Choro negro;;;Paulinho da Viola;Fernando Costa;
Choro novo em Dó;;;Waldyr Azevedo;;
Choro pro Zé;;;Guinga;Aldir Blanc;
Choro triste;;;Rogério Souza;;
Ciuminho grande;;;Carioca;;
Cochichando;;;Pixinguinha;;
Com mais de mil;;;Canhoto da Paraíba;;
Comigo é assim;;;Zé Menezes;;
Compadre;;;Luiz Marcelo Fortuna;;
Concerto de baterias;;;Pixinguinha;;
Confidências;;;Ernesto Nazareth;;
Conversa de botequim;;;Noel Rosa;Vadico;
Conversa de botequim;;;Vadico;Noel Rosa;
Conversa fiada;;;Rogério Souza;;
Conversa mole;;;Radamés Gnatalli;;
Coração que sente;;;Ernesto Nazareth;;
Coralina;;;Carramona;;
Cordas românticas;;;Waldyr Azevedo;Avena de Castro;
Corruira saltitante;;;Lina Pesce;;
Cuidado colega;;;Pixinguinha;Benedito Lacerda;
Cuidado violão;;;José Toledo;;
Curare;;;Bororó;;
Dança do urso;;;Candinho;;
Davilicença;;;Armandinho;Moraes Moreira;
De coração a coração;;;Jacob do Bandolim;;
De Limoeiro a Mossoró;;;Jacob do Bandolim;;
Debutante;;;Sylvio Mazzucca;;
Dedé;;;Domingos Pecci;;
Delicado;;;Waldyr Azevedo;;
Dengoso;;;João Pernambuco;;
Dengoso;;;Jonas Silva;;
Depois dos arcos;;;Afonso Marchado;Luiz Moura;Paulinho Pinheiro
Descendo a serra;;;Pixinguinha;Benedito Lacerda;
Desiludido;;;Tico-Tico;;
